"dictor";"number.of.syllables";"duration";"start";"end";"type"
"D6";7;1760;46,89;48,65;"verse"
"D6";9;2070;51,74;53,81;"verse"
"D6";9;2180;54,67;56,85;"verse"
"D6";9;2000;57,43;59,43;"verse"
"D6";9;3050;60,09;63,14;"verse"
"D6";9;2860,00000000001;63,87;66,73;"verse"
"D6";8;2400,00000000001;67,46;69,86;"verse"
"D6";10;2899,99999999999;71,65;74,55;"verse"
"D6";8;2459,99999999999;75,92;78,38;"verse"
"D6";8;2069,99999999999;78,84;80,91;"verse"
"D6";9;3099,99999999999;82,11;85,21;"verse"
"D6";9;2830;86,18;89,01;"verse"
"D6";9;4510,00000000001;89,44;93,95;"verse"
"D6";9;3110;95,34;98,45;"verse"
"D7";9;2710;1,21;3,92;"verse"
"D7";9;2500;4,05;6,55;"verse"
"D7";9;2930;6,94;9,87;"verse"
"D7";9;2720;10,23;12,95;"verse"
"D7";9;2490;13,96;16,45;"verse"
"D7";9;2460;16,64;19,1;"verse"
"D7";9;2530;19,39;21,92;"verse"
"D7";9;2080;22,13;24,21;"verse"
"D7";9;2770;25,315;28,085;"verse"
"D7";8;2070;28,425;30,495;"verse"
"D7";9;2450;31,045;33,495;"verse"
"D7";8;2630;33,8;36,43;"verse"
"D7";8;2169,99999999999;37,2;39,37;"verse"
"D7";9;2040,00000000001;39,91;41,95;"verse"
"D7";9;2320;42,53;44,85;"verse"
"D7";9;2500;45,23;47,73;"verse"
"D7";9;2440;48,46;50,9;"verse"
"D7";9;2100;51,18;53,28;"verse"
"D7";9;2470;53,81;56,28;"verse"
"D7";9;2340;56,31;58,65;"verse"
"D7";9;2030;59,53;61,56;"verse"
"D7";8;2180,00000000001;61,97;64,15;"verse"
"D7";8;2310;64,89;67,2;"verse"
"D7";8;2310;67,47;69,78;"verse"
"D7";9;2330;70,95;73,28;"verse"
"D7";9;2100,00000000001;73,8;75,9;"verse"
"D7";9;2300;76,2;78,5;"verse"
"D7";9;2259,99999999999;78,93;81,19;"verse"
"D8";9;2160;4,09;6,25;"verse"
"D8";9;1990;6,82;8,81;"verse"
"D8";9;2489;9,421;11,91;"verse"
"D8";9;2200;12,432;14,632;"verse"
"D8";9;2189;15,255;17,444;"verse"
"D8";9;1944;17,944;19,888;"verse"
"D8";9;2166;20,4;22,566;"verse"
"D8";9;2622;22,943;25,565;"verse"
"D8";9;2500;30,488;32,988;"verse"
"D8";8;2178;33,565;35,743;"verse"
"D8";9;2256;36,399;38,655;"verse"
"D8";9;2689;39,088;41,777;"verse"
"D8";9;2223;43,743;45,966;"verse"
"D8";9;2145;46,51;48,655;"verse"
"D8";9;2044,99999999999;49,31;51,355;"verse"
"D8";9;2222;51,844;54,066;"verse"
"D8";9;2266,00000000001;55,3;57,566;"verse"
"D8";9;1978;58,055;60,033;"verse"
"D8";10;2678;60,888;63,566;"verse"
"D8";9;2378;63,91;66,288;"verse"
"D8";7;2022,00000000001;67,344;69,366;"verse"
"D8";9;2800;70,077;72,877;"verse"
"D8";8;2143,99999999999;73,233;75,377;"verse"
"D8";9;2589;75,899;78,488;"verse"
"D8";9;2300;79,232;81,532;"verse"
"D8";9;2200;82,277;84,477;"verse"
"D8";9;2266,00000000001;85,122;87,388;"verse"
"D8";9;2422;88,044;90,466;"verse"
"D9";9;2340;2,1;4,44;"verse"
"D9";9;1770;4,5;6,27;"verse"
